"ID","healthstate","tto"
1,11211,1
1,11112,1
1,12211,1
1,33323,-0.825
1,11113,0.574999988
1,22323,0.675000012
1,11131,-0.975
1,22331,-0.975
1,21323,0.675000012
1,13212,0.425000012
1,22233,-0.975
1,33333,-0.975
4,12211,1
4,33212,0.375
4,33323,-0.675
4,22323,-0.075
4,32331,-0.175
4,12223,1
4,11133,-0.275
4,21323,-0.225
4,12111,1
4,11121,1
4,33333,-0.975
4,21133,0.925000012
5,23321,0.725000024
5,11112,1
5,12121,1
5,13332,0.324999988
5,12222,1
5,13212,0.524999976
5,22112,1
5,22122,1
5,21111,1
5,33333,-0.725
5,23232,0.725000024
5,11122,1
6,32211,0.625
6,23321,0.625
6,11211,1
6,33212,0.375
6,12223,-0.325
6,12111,1
6,22121,0.824999988
6,22122,0.625
6,23313,0.324999988
6,33333,-0.175
6,21133,-0.275
6,11122,0.824999988
8,11112,1
8,12121,0.524999976
8,12222,0.524999976
8,11113,0.524999976
8,22323,0.625
8,32232,-0.975
8,13311,0.524999976
8,21323,-0.325
8,12111,0.524999976
8,21222,0.725000024
8,33333,-0.975
8,23232,-0.725
9,32223,1
9,32331,1
9,32232,1
9,11133,1
9,12111,1
9,32313,1
9,22222,1
9,22112,1
9,11121,1
9,21222,1
9,33333,1
9,23232,1
10,12121,0.949999988
10,21232,0.875
10,13332,0
10,12222,1
10,21312,0.925000012
10,33232,-0.975
10,33321,-0.025
10,13311,-0.075
10,11121,1
10,21111,1
10,33333,-0.075
10,11312,0.949999988
12,12211,0.925000012
12,33323,-0.225
12,22323,0.425000012
12,12223,0.774999976
12,33321,0.625
12,22331,0.675000012
12,12111,1
12,32313,-0.025
12,22112,0.824999988
12,11121,1
12,21222,1
12,33333,-0.425
13,11211,1
13,12121,1
13,21232,0.375
13,12222,0.925000012
13,33232,-0.975
13,32331,-0.975
13,32232,0.625
13,22233,-0.875
13,22121,0.875
13,21111,1
13,33333,-0.975
13,11122,1
14,32211,1
14,23321,1
14,11211,1
14,12121,1
14,21232,0.824999988
14,12211,1
14,32223,1
14,13311,1
14,12111,1
14,21222,1
14,33333,0
14,23232,0.524999976
15,32211,-0.475
15,11211,1
15,12222,1
15,21312,1
15,33323,-0.975
15,11113,0.524999976
15,32223,-0.875
15,12223,0.324999988
15,11121,1
15,23313,-0.975
15,33333,-0.975
15,11122,0.725000024
16,11211,1
16,11112,1
16,12211,1
16,22323,-0.975
16,32232,0.324999988
16,11133,0.324999988
16,13311,1
16,32313,0.524999976
16,22122,1
16,33333,-0.975
16,21133,0.524999976
16,23232,0.224999994
19,11211,0.949999988
19,13332,0.524999976
19,33212,-0.975
19,21312,0.925000012
19,11133,1
19,13311,0.824999988
19,21323,0.824999988
19,13212,1
19,21111,0.949999988
19,33333,-0.975
19,21133,0.824999988
19,23232,0.725000024
20,12121,1
20,21232,0.725000024
20,33212,-0.475
20,33232,-0.975
20,33321,-0.975
20,22331,0.625
20,12111,0.925000012
20,13212,0.725000024
20,22121,0.824999988
20,21111,1
20,21222,0.824999988
20,33333,-0.975
